item
"מחיצות P2 בעובי 10 ס""מ"
"מחיצות P2 בעובי 20 ס""מ"
עמודים עגולים מבטון בקטרים שונים
קורות עולות מבטון בחתכים שונים יצוקות על קירות בנויים
מעקות מבטון בחתכים שונים
"תקרות מבטון בעובי 50 ס""מ"
"תקרות דרוכות Unbonded בעובי 30 ס""מ"
"תקרות דרוכות Unbonded בעובי 40 ס""מ"
"תקרות דרוכות Unbonded בעובי 45 ס""מ"
"תקרות דרוכות Bonded בעובי 45 ס""מ"
"תקרות דרוכות Bonded בעובי 50 ס""מ"
"משטחי מדרגות אופקיים מבטון בעובי 18 ס""מ"
"מהלכי מדרגות 15/28 ס""מ"
"טופינג בעובי 7 ס""מ"
"תקרה מלוחות טרומיים עשויים מבטון תאי משוריין מסוגים שונים בעובי 20 ס""מ לא כולל טופינג"
"תקרה מלוחות טרומיים עשויים מבטון תאי משוריין מסוגים שונים בעובי 25 ס""מ לא כולל טופינג"
"תקרה מלוחות טרומיים עשויים מבטון תאי משוריין מסוגים שונים בעובי 30 ס""מ לא כולל טופינג"
"תקרה מלוחות טרומיים עשויים מבטון תאי משוריין מסוגים שונים בעובי 35 ס""מ לא כולל טופינג"
"מחיצות בלוק בעובי 10 ס""מ"
"מחיצות בלוק בעובי 20 ס""מ"
"מחיצות בלוק בעובי 15 ס""מ"
"יסוד רפסודה מבטון בגובה P1 ס""מ"
"יסוד רפסודה מבטון בגובה 100 ס""מ"
עמודי יסוד מבטון במידות שונות
"קירות מעוגלים מבטון בחתכים שונים בעובי 30 ס""מ"
"קירות מעוגלים מבטון בחתכים שונים בעובי 20 ס""מ"
"תקרות מבטון בעובי 65 ס""מ"
"תקרות מבטון בעובי 28 ס""מ"
"תקרות מבטון בעובי 55 ס""מ"
"משטחי מדרגות אופקיים מבטון בעובי 25 ס""מ"
"מהלכי מדרגות 18.0/28 ס""מ"
"מהלכי מדרגות 18/28 ס""מ"
"מהלכי מדרגות 9/28 ס""מ"
"מהלכי מדרגות 10/42 ס""מ"
תוספת עבור עמודים בטון ב-50
תוספת עבור קורות בטון ב-50
תוספת עבור קורות בטון ב-60
תוספת עבור יסודות בטון ב-30
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 132/, ידית בהלה: 1"
"דלת מ-01, כנף: חד כנפית, מידה: 135/255, ידית בהלה: 1"
"דלת מ-01, כנף: חד כנפית, מידה: 135/245, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: דו כנפית, מידה: 272/, ידית בהלה: 1"
"דלת מ-01, מידה: 272/325, ידית בהלה: 1"
"דלת מ-01, מידה: 135/261, ידית בהלה: 1"
"דלת מ-01, מידה: 135/510, ידית בהלה: 1"
"דלת מ-01, מידה: 135/215, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 132/374, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 128/270, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 132/282, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 132/297, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 132/43, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 132/292, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 132/262, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 135/263, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 135/272, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: דו כנפית, מידה: 272/534, ידית בהלה: 1"
"דלת מ-01, סוג: MZA משקוף CW דלת, כנף: חד כנפית, מידה: 135/283, ידית בהלה: 1"
"דלת מ-02, כנף: חד כנפית, מידה: 135/241, ידית בהלה: 1"
"דלת מ-02, כנף: חד כנפית, מידה: 135/245, ידית בהלה: 1"
"דלת מ-02, כנף: חד כנפית, מידה: 135/255, ידית בהלה: 1"
"דלת מ-02, כנף: חד כנפית, מידה: 135/558, ידית בהלה: 1"
"דלת מ-02, סוג: דלת מילוט, מידה: 132/260, ידית בהלה: 1"
"דלת מ-03, סוג: MZA משקוף CW דלת, כנף: חד כנפית, ידית בהלה: 1"
"דלת מ-04, מידה: 133/270"
"דלת מ-04, מידה: /265, ידית בהלה: 1"
"דלת מ-04, ידית בהלה: 1"
"דלת מ-04, מידה: 275/265"
"דלת מ-04, מידה: 275/270"
"דלת מ-04, מידה: 175/265"
"דלת מ-04, כנף: דו כנפית, מידה: 175/265"
"דלת מ-04, כנף: דו כנפית, מידה: 245/265"
"דלת מ-04, מידה: 265/265, ידית בהלה: 1"
"דלת מ-04, מידה: 125/265"
"דלת מ-04, מידה: 255/265"
"דלת מ-04, מידה: 273/270"
"דלת מ-04, מידה: 24/265, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.O"
"דלת מ-04, מידה: 272/270"
"דלת מ-04, מידה: 185/265"
"דלת מ-04, מידה: 194/265"
"דלת מ-04, מידה: 193/265"
"דלת מ-04, מידה: 275/265, ידית בהלה: 1"
"דלת מ-05, סוג: ד.פח, כנף: חד כנפית, מידה: 130/210, ידית בהלה: 1"
תוספת עבור קירות בטון ב-50
"דלת מ-101.1, סוג: ד.א.מ, כנף: דו כנפית, מידה: 250/270, תוספת: מרובע, עמידות אש: 30/60, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.O"
"דלת מ-101.1, סוג: ד.א.צ, כנף: דו כנפית, מידה: 250/270, תוספת: מרובע, עמידות אש: 30/60, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.O"
"דלת מ-101.1, סוג: ד.א.צ, כנף: דו כנפית, מידה: 250/27, תוספת: מרובע, עמידות אש: 30/60, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.O"
"דלת מ-101.2, סוג: ד.א, כנף: דו כנפית, מידה: 200/230, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.C, ידית בהלה: 1"
"דלת מ-101.3, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/240, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01C, מצב: N.C, ידית בהלה: 1"
"דלת מ-101.4, סוג: ד.א.צ, כנף: חד כנפית, מידה: 140/240, תוספת: צוהר, עמידות אש: 30/90, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-101.5, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/240, תוספת: צוהר, עמידות אש: 30/90, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-101.6, סוג: ד.א.צ, כנף: חד כנפית, מידה: 140/240, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01C, מצב: N.C, ידית בהלה: 1"
"דלת מ-102.1, סוג: ד.א.צ, כנף: דו כנפית, מידה: 240/270, תוספת: מרובע, עמידות אש: 30/60, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.O"
"דלת מ-103.1, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/270, תוספת: מרובע, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-103.2, סוג: ד.א, כנף: חד כנפית, מידה: 130/270, תוספת: ללא, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-104, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/210, תוספת: מרובע, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-104, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-104.1, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/210, תוספת: מרובע, עמידות אש: 30/60, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.O"
"דלת מ-104.1, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/210, תוספת: מרובע, עמידות אש: 30/60, ידית בהלה: 1"
"דלת מ-104.2, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-104.3, סוג: ד.א, כנף: דו כנפית, מידה: 240/210, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.C, ידית בהלה: 1"
"דלת מ-105, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, תוספת: ללא, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C"
"דלת מ-105, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, תוספת: ללא, עמידות אש: 30/30"
"דלת מ-105.10, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, תוספת: ללא, עמידות אש: 30/90, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C"
"דלת מ-105.10, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, תוספת: ללא, עמידות אש: 30/90"
"דלת מ-105.3, סוג: ד.א, כנף: חד כנפית, מידה: 130/210, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-105.5, סוג: ד.א, כנף: חד כנפית, מידה: 130/210, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-106, מידה: 85/210, ידית בהלה: 1"
"דלת מ-107, סוג: ד.א.צ, כנף: חד כנפית, מידה: 125/210, תוספת: מרובע, עמידות אש: 30/30, מבוקרת: 1"
"דלת מ-107, סוג: ד.א.צ, כנף: חד כנפית, מידה: 125/210, תוספת: מרובע, עמידות אש: 30/30, מבוקרת: 1, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01C1, מצב: N.C"
"דלת מ-107, סוג: ד.א.צ, כנף: חד כנפית, מידה: 125/210, תוספת: מרובע, עמידות אש: 30/30, מבוקרת: 1, ידית: קבועה, רמת נעילה: לשונית בלבד, פרזול: FI-02A1, מצב: N.C"
"דלת מ-107, סוג: ד.א.צ, כנף: חד כנפית, מידה: 125/210, תוספת: מרובע, עמידות אש: 30/30, מבוקרת: 1, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C"
"דלת מ-108, סוג: ד.א, כנף: חד כנפית, מידה: 110/210, תוספת: ללא, עמידות אש: 30/30"
"דלת מ-108, סוג: ד.א, כנף: חד כנפית, מידה: 110/210, תוספת: ללא, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C"
"דלת מ-108, סוג: ד.א, כנף: חד כנפית, מידה: 110/210, תוספת: ללא, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, מצב: N.C"
"דלת מ-111, סוג: ד.א, כנף: דו כנפית, מידה: 210/230, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.C, ידית בהלה: 1"
"דלת מ-112, סוג: ד.א, כנף: חד כנפית, מידה: 140/230, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.C, ידית בהלה: 1"
"דלת מ-113, סוג: ד.א, כנף: דו כנפית, מידה: 190/230, עמידות אש: 30/30, ידית: קבועה, רמת נעילה: לשונית בלבד, פרזול: FI-20A, מצב: N.C, ידית בהלה: 1"
"דלת מ-114, סוג: ד.א.צ, כנף: חד כנפית, מידה: 80/210, מבוקרת: 1"
"דלת מ-117, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/230, תוספת: מרובע, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-119, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/230, עמידות אש: 30/60, ידית בהלה: 1"
"דלת מ-123, סוג: ד.א, כנף: חד כנפית, מידה: 90/230, תוספת: ללא, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-126, סוג: ד.א.צ, כנף: דו כנפית, מידה: 240/230, תוספת: מרובע, עמידות אש: 30/30"
"דלת מ-127, מידה: 120/210, ידית בהלה: 1"
"דלת מ-129, סוג: ד.א.צ, כנף: דו כנפית, מידה: 160/210, תוספת: מרובע, עמידות אש: 30/30, מבוקרת: 1"
"דלת מ-132, סוג: ד.א.צ, כנף: דו כנפית, מידה: 120/210, תוספת: ללא, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-135, סוג: ד.א, כנף: חד כנפית, מידה: 100/210, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-137, סוג: ד.א, כנף: דו כנפית, מידה: 240/270, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-137.3, סוג: ד.א, כנף: חד כנפית, מידה: 125/210, עמידות אש: 30/30, מבוקרת: 1, ידית בהלה: 1"
"דלת מ-138, סוג: ד.א, כנף: חד כנפית, מידה: 110/210, תוספת: ללא, עמידות אש: 30/30, מבוקרת: 1, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C"
"דלת מ-138, סוג: ד.א, כנף: חד כנפית, מידה: 110/210, תוספת: ללא, עמידות אש: 30/30, מבוקרת: 1"
"דלת מ-138, סוג: ד.א, כנף: חד כנפית, מידה: 110/210, תוספת: ללא, עמידות אש: 30/90, מבוקרת: 1, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C"
"דלת מ-138.1, סוג: ד.א, כנף: חד כנפית, מידה: 110/270, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-138.2, סוג: ד.א, כנף: חד כנפית, מידה: 110/210, עמידות אש: 30/30, ידית: קבועה, רמת נעילה: לשונית בלבד, פרזול: FI-02A1, מצב: N.C, ידית בהלה: 1"
"דלת מ-139, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-139, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-139, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, עמידות אש: 30/30, ידית: קבועה, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-139.2, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, תוספת: ללא, עמידות אש: 30/60"
"דלת מ-140, סוג: ד.א, כנף: חד כנפית, מידה: 100/210, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-140.1, סוג: ד.א, כנף: חד כנפית, מידה: 100/210, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: בריח אוטו', פרזול: FI-04, מצב: N.C, ידית בהלה: 1"
"דלת מ-140.1, סוג: ד.א, כנף: חד כנפית, מידה: 100/210, עמידות אש: 30/30, ידית: קבועה, רמת נעילה: לשונית בלבד, פרזול: FI-02A1, מצב: N.C, ידית בהלה: 1"
"דלת מ-140.1, סוג: ד.א, כנף: חד כנפית, מידה: 100/210, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-140.2, סוג: ד.א.צ, כנף: חד כנפית, מידה: 100/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-144, מידה: 200/240, ידית בהלה: 1"
"דלת מ-144, סוג: ד.א, כנף: חד כנפית, מידה: 200/240, עמידות אש: 30/30, ידית: קבועה, רמת נעילה: לשונית בלבד, פרזול: FI-20A, מצב: N.C, ידית בהלה: 1"
"דלת מ-149.1, סוג: ד.א, כנף: דו כנפית, מידה: 150/230, עמידות אש: 30/90, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-20, מצב: N.C, ידית בהלה: 1"
"דלת מ-149.2, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/230, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01C, מצב: N.C, ידית בהלה: 1"
"דלת מ-149.3, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/250, תוספת: מרובע, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-149.3, סוג: ד.א.צ, מידה: 130/250, תוספת: מרובע, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-149.3, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/250, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-149.7, סוג: ד.א, כנף: חד כנפית, מידה: 110/230, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-150, סוג: ד.א, כנף: חד כנפית, מידה: 90/210, תוספת: ללא, עמידות אש: 30/60"
"דלת מ-153, כנף: דו כנפית, מידה: 175/270, ידית בהלה: 1"
"דלת מ-155, סוג: ד.א.צ, כנף: דו כנפית, מידה: 150/210, תוספת: מרובע, עמידות אש: 30/30"
"דלת מ-156, סוג: ד.א.צ, כנף: חד כנפית, מידה: 140/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-160, סוג: ד.א.צ, כנף: חד כנפית, מידה: 140/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-162, סוג: ד.א, כנף: חד כנפית, מידה: 125/210, תוספת: צוהר, עמידות אש: 30/30, ידית: קבועה, רמת נעילה: בריח אוטו', פרזול: FI-04, מצב: N.C, ידית בהלה: 1"
"דלת מ-162, סוג: ד.א, כנף: חד כנפית, מידה: 125/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-163, סוג: ד.א, כנף: חד כנפית, מידה: 100/210, עמידות אש: 30/90, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-165, סוג: ד.א.צ, כנף: דו כנפית, מידה: 160/240, עמידות אש: 30/30, מבוקרת: 1, ידית בהלה: 1"
"דלת מ-167, סוג: ד.א, כנף: חד כנפית, מידה: 95/210, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-167, מידה: 95/210, ידית בהלה: 1"
"דלת מ-168, סוג: ד.א.צ, כנף: חד כנפית, מידה: 120/210, תוספת: צוהר, עמידות אש: 30/90, ידית: מנוף, רמת נעילה: בריח אוטו', פרזול: FI-04, מצב: N.O, ידית בהלה: 1"
"דלת מ-169, סוג: ד.א.צ, כנף: חד כנפית, מידה: 110/210, תוספת: צוהר, עמידות אש: 30/30, ידית: קבועה, רמת נעילה: לשונית בלבד, פרזול: FI-02A1, מצב: N.C, ידית בהלה: 1"
"דלת מ-169, סוג: ד.א.צ, כנף: חד כנפית, מידה: 110/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-170, סוג: ד.א.צ, כנף: חד כנפית, מידה: 135/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-171, סוג: ד.א.צ, כנף: חד כנפית, מידה: 125/210, עמידות אש: 30/30, מבוקרת: 1, ידית בהלה: 1"
"דלת מ-171, סוג: ד.א.צ, מידה: 125/210, עמידות אש: 30/30, מבוקרת: 1, ידית בהלה: 1"
"דלת מ-171, סוג: ד.א.צ, כנף: חד כנפית, מידה: 125/210, מבוקרת: 1, ידית בהלה: 1"
"דלת מ-173, סוג: ד.א, כנף: חד כנפית, מידה: 125/210, עמידות אש: 30/30, ידית בהלה: 1"
"דלת מ-180, מידה: 160/240, ידית בהלה: 1"
"דלת מ-181, מידה: 125/240, ידית בהלה: 1"
"דלת מ-182, מידה: 200/240, ידית בהלה: 1"
"דלת מ-183, מידה: 250/240, ידית בהלה: 1"
"דלת מ-184, מידה: 120/210, ידית בהלה: 1"
"דלת מ-185, מידה: 130/210, ידית בהלה: 1"
"דלת מ-187, סוג: ד.א.צ, כנף: חד כנפית, מידה: 120/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-187, סוג: ד.א.צ, כנף: חד כנפית, מידה: 120/210, תוספת: מרובע, עמידות אש: 30/30"
"דלת מ-188, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/210, תוספת: צוהר, עמידות אש: 30/90, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-189, סוג: ד.א.צ, כנף: חד כנפית, מידה: 140/230, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-189, סוג: ד.א.צ, כנף: חד כנפית, מידה: 140/230, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01C, מצב: N.C, ידית בהלה: 1"
"דלת מ-189.1, סוג: ד.א.צ, כנף: חד כנפית, מידה: 140/230, תוספת: צוהר, עמידות אש: 30/90, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-189.1, סוג: ד.א.צ, כנף: חד כנפית, מידה: 140/230, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01C, מצב: N.C, ידית בהלה: 1"
"דלת מ-190, סוג: ד.א.צ, כנף: חד כנפית, מידה: 130/210, תוספת: צוהר, עמידות אש: 30/30, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: FI-01C, מצב: N.C, ידית בהלה: 1"
"דלת מ-190, סוג: ד.פח, כנף: חד כנפית, מידה: 130/210, עמידות אש: ללא, ידית: מנוף, רמת נעילה: לשונית בלבד, פרזול: ST-01C, מצב: N.C, ידית בהלה: 1"
"דלת מ-190, מידה: 190/210, ידית בהלה: 1"
"דלת מ-199, מידה: 175/235, ידית בהלה: 1"
"דלת מ-199, מידה: 175/229, ידית בהלה: 1"
"דלת מ-199, כנף: דו כנפית, מידה: 175/270, עמידות אש: 30/90, ידית בהלה: 1"
"דלת מ-201, סוג: ד.פח, כנף: חד כנפית, מידה: 110/210, ידית בהלה: 1"
"דלת מ-201, סוג: ד.פח, כנף: חד כנפית, מידה: 110/210, עמידות אש: ללא, ידית: מנוף, רמת נעילה: בריח מכני, פרזול: ST-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-201.1, סוג: ד.פח, כנף: חד כנפית, מידה: 110/210, עמידות אש: ללא, ידית: מנוף, רמת נעילה: בריח אוטו', פרזול: ST-01, מצב: N.C, ידית בהלה: 1"
"דלת מ-202, מידה: 150/210, ידית בהלה: 1"
"דלת מ-203, סוג: ד.פח, כנף: חד כנפית, מידה: 130/210, ידית בהלה: 1"
"דלת מ-203, סוג: ד.פח, כנף: חד כנפית, מידה: 120/210, מבוקרת: 1, ידית בהלה: 1"
