description
"משטחי מדרגות אופקיים מבטון בעובי 25 ס""מ"
"מהלכי מדרגות 18.0/28 ס""מ"
"מהלכי מדרגות 18/28 ס""מ"
"מהלכי מדרגות 9/28 ס""מ"
"מהלכי מדרגות 10/42 ס""מ"
תוספת עבור עמודים בטון ב-50
תוספת עבור קורות בטון ב-50
תוספת עבור קירות בטון ב-60
תוספת עבור קורות בטון ב-60
תוספת עבור יסודות בטון ב-30
דלת טיפוס 01 ברשימה. הכל קומפלט כמפורט ברשימה.
דלת אש טיפוס 02 ברשימה. הכל קומפלט כמפורט ברשימה.
דלת אש טיפוס 03 ברשימה. הכל קומפלט כמפורט ברשימה.
דלת אש טיפוס 04 ברשימה. הכל קומפלט כמפורט ברשימה.
דלת אש טיפוס 05 ברשימה. הכל קומפלט כמפורט ברשימה.
תוספת עבור קירות בטון ב-50
"טיפוס מ-101.1 - ד.א.צ 30/60 במידות 250/270 ס""מ"
דלת מ-101.2
דלת מ-101.3
דלת מ-101.4
דלת מ-101.5
דלת מ-101.6
"טיפוס מ-102.1 - ד.א.צ 30/60 במידות 240/270 ס""מ"
"טיפוס מ-103.1 - דלת אש עם צוהר 30/30 במידות 130/250 ס""מ"
"טיפוס מ-103.2 - דלת אש 30/30 במידות 130/250 ס""מ"
"טיפוס מ-104 - דלת אש 30/30 במידות 130/210 ס""מ"
"טיפוס מ-104.1 - דלת אש צוהר 30/60 במידות 130/210 ס""מ"
"טיפוס מ-104.2 - דלת אש עם צוהר 30/30 במידות 130/210 ס""מ"
"טיפוס מ-104.3 - דלת אש עם צוהר במידות 240/210 ס""מ"
"טיפוס מ-105 - דלת אש 30/30 כנף אחת במידות 90/210 ס""מ"
"טיפוס מ-105.10 - דלת אש 30/90 כנף אחת במידות 90/210 ס""מ"
"טיפוס מ-105.3 - דלת אש 30/30 במידות 130/210 ס""מ"
דלת מ-105.5
דלת מ-106
"טיפוס מ-107 - דלת אש עם צוהר 30/30 במידות 125/210 ס""מ"
"טיפוס מ-108 - דלת אש 30/30 כנף אחת במידות 110/210 ס""מ"
דלת מ-111
דלת מ-112
דלת מ-113
דלת מ-114
דלת מ-117
דלת מ-119
דלת מ-123
דלת מ-126
דלת מ-127
"טיפוס מ-129 - דלת אש 30/30 דו כנפית עם צוהר במידות 160/210 ס""מ לא סימטרית"
"טיפוס מ-132 - דלת אש דו כנפית לא סימטרית 30/30 במידות 120/210 ס""מ"
"טיפוס מ-135 - דלת אש 30/30 כנף אחת במידות 100/210 ס""מ"
"טיפוס מ-137 - דלת אש דו כנפית 30/30 במידות 240/270 ס""מ"
"טיפוס מ-137.3 - דלת אש 30/30 במידות 125/210 ס""מ"
"טיפוס מ-138 - דלת אש חד כנפית 30/30 במידות 110/210 ס""מ"
דלת מ-138.1
דלת מ-138.2
"טיפוס מ-139 - דלת אש 30/30 כנף אחת במידות 90/210 ס""מ"
"טיפוס מ-139.2 - דלת אש 30/60 כנף אחת במידות 90/210 ס""מ"
דלת מ-140
דלת מ-140.1
דלת מ-140.2
"טיפוס מ-144 - דלת אש דו כנפית 30/30 במידות 200/240 ס""מ"
דלת מ-149.1
דלת מ-149.2
דלת מ-149.3
דלת מ-149.7
"טיפוס מ-150 - דלת אש 30/60 כנף אחת במידות 90/210 ס""מ"
דלת מ-153
"טיפוס מ-155 - דלת אש צוהר דו כנפית לא סימטרית במידות 150/210 ס""מ"
"טיפוס מ-156 - דלת אש צוהר 30/30 במידות 140/210 ס""מ"
"טיפוס מ-160 - דלת אש צוהר 30/60 במידות 140/210 ס""מ"
"טיפוס מ-162 - דלת אש צוהר 30/30 במידות 125/210 ס""מ"
"טיפוס מ-163 - דלת אש 30/90 במידות 100/210 ס""מ"
"טיפוס מ-165 - דלת אש 30/30 דו כנפית עם צוהר במידות 160/210 ס""מ"
"טיפוס מ-167 - דלת אש 30/30 כנף אחת במידות 95/210 ס""מ"
"טיפוס מ-168 - דלת אש עם צוהר 30/30 במידות 120/210 ס""מ"
"טיפוס מ-169 - דלת אש עם צוהר 30/30 במידות 110/210 ס""מ"
"טיפוס מ-170 - דלת אש עם צוהר 30/30 במידות 135/210 ס""מ"
"טיפוס מ-171 - דלת אש עם צוהר 30/30 במידות 125/210 ס""מ"
"טיפוס מ-173 - דלת אש 30/30 במידות 125/210 ס""מ"
"טיפוס מ-180 - דלת אש דו כנפית 30/30 במידות 160/240 ס""מ"
"טיפוס מ-181 - דלת אש 30/30 במידות 125/240 ס""מ"
"טיפוס מ-182 - דלת אש צוהר דו כנפית 30/90 במידות 200/240 ס""מ"
"טיפוס מ-183 - דלת אש 30/30 דו כנפית עם צוהר במידות 250/240 ס""מ"
"טיפוס מ-184 - דלת אש עם צוהר 30/30 במידות 120/210 ס""מ"
"טיפוס מ-185 - דלת אש צוהר 30/90 במידות 130/210 ס""מ"
"טיפוס מ-187 - דלת אש 30/30 במידות 120/210 ס""מ"
"טיפוס מ-188 - דלת אש עם צוהר 30/60 במידות 130/210 ס""מ"
"טיפוס מ-189 - דלת אש עם צוהר 30/30 במידות 140/230 ס""מ"
דלת מ-189.1
דלת מ-190
"טיפוס מ-199 - וטרינה מוגנת אש במידות 635+132/270 ס""מ כולל דלת דו כנפית בלובי מעליות בחניונים"
"טיפוס מ-201 - דלת פח במידות 110/210 ס""מ"
"טיפוס מ-202 - דלת פח דו כנפית לא סימטרית במידות 150/210 ס""מ"
"טיפוס מ-203 - דלת פח + ידית בהלה במידות 120/210 ס""מ"
"טיפוס מ-204 - דלת פח + ידית בהלה במידות 110/210 ס""מ"
"טיפוס מ-205 - דלת פח במידות 110/210 ס""מ"
דלת מ-207
"טיפוס מ-209 - דלת פח במידות 90/210 ס""מ"
"טיפוס מ-209.1 - דלת פח עם תריס אוורור מעל במידות 40+105/210 ס""מ"
"טיפוס מ-209.2 - דלת פח במידות 90/210 ס""מ"
"טיפוס מ-211 - דלת פח עם תריס אוורור מעל במידות 40+90/210 ס""מ"
"טיפוס מ-214 - דלת פח במידות 95/210 ס""מ"
דלת מ-215
דלת מ-220
דלת מ-221
דלת מ-239.4
דלת מ-240
דלת מ-252
דלת מ-253
דלת מ-260
דלת מ-271
דלת מ-275
"טיפוס מ-302 - ארון שירות מידות 75/210 ס""מ"
דלת מ-302.1
"טיפוס מ-303 - ארון שרות במידות 280/210 ס""מ"
"טיפוס מ-304 - ארון שרות במידות 175/270 ס""מ"
דלת מ-307
דלת מ-309
"טיפוס מ-310 - ארון שרות במידות 130/210 ס""מ"
"טיפוס מ-311 - ארון שרות במידות 80/210 ס""מ"
דלת מ-312
"טיפוס מ-313 - ארון שרות במידות 240/270 ס""מ"
"טיפוס מ-315 - ארון שרות במידות 90/210 ס""מ"
"טיפוס מ-316 - ארון שרות במידות 140/210 ס""מ"
"טיפוס מ-317 - ארון שרות במידות 130/210 ס""מ"
"טיפוס מ-318 - ארון שרות במידות 145/210 ס""מ"
"טיפוס מ-322 - ארון שרות במידות 150/210 ס""מ"
"טיפוס מ-323 - ארון שרות במידות 180/240 ס""מ"
"טיפוס מ-324 - ארון שרות במידות 140/210 ס""מ"
"טיפוס מ-328 - ארון שרות במידות 160/210 ס""מ"
"טיפוס מ-332 - ארון שרות במידות 175/210 ס""מ"
"טיפוס מ-334 - ארון שרות במידות 150/180 ס""מ"
"טיפוס מ-336 - ארון שרות במידות 280/270 ס""מ"
"טיפוס מ-337 - ארון שרות במידות 120/210 ס""מ"
"טיפוס מ-338 - ארון שרות במידות 210/210 ס""מ"
"טיפוס מ-339 - ארון שרות במידות 280/210 ס""מ"
דלת מ-345
דלת מ-391
דלת מ-392
"טיפוס מ-501 - דלת ממ""ד כולל ד.א פנימית 30/30 במידות 90/200 ס""מ"
"טיפוס מ-910 - דלתית למאגר מים במידות 80/80 ס""מ"
"טיפוס מ-911 - דלתית למאגר מים במידות 80/65 ס""מ"
דלת מ-914
"טיפוס מ-953 - תריס חניון במידות 700/310 ס""מ"
"טיפוס מ-955 - תריס דחסנית במידות 740/310 ס""מ"
דלת מ-
דלת מ-פ
"משטחי מדרגות אופקיים מבטון בעובי P1 ס""מ"
השלמות יציקה
"תקרות דרוכות Unbonded בעובי 25 ס""מ"
"תקרות דרוכות Unbonded בעובי 51 ס""מ"
רפפה קבועה מ-401 בגודל 55/35
רפפה קבועה מ-411 בגודל 1020/270
רפפה קבועה מ-335 בגודל 250/250
רפפה קבועה מ-405 בגודל 160/140
רפפה קבועה מ-406 בגודל 260/140
רפפה קבועה מ-407 בגודל 140/140
רפפה קבועה מ-408 בגודל 270/100
רפפה קבועה מ-409 בגודל 140/80
רפפה קבועה מ-412 בגודל 185/85
רפפה קבועה מ-403.1 בגודל 135/210
